"processes";"num_startSudokus";"solution time [s]";"sudoku_init time [s]"
1;1;0.000812;0.000115
1;1;0.000799;0.000102
1;1;0.000803;0.000098
1;1;0.000812;0.000108
1;1;0.000834;0.000107
1;1;0.000807;0.000099
1;1;0.000834;0.000101
1;1;0.000812;0.000100
1;1;0.000828;0.000098
1;1;0.000813;0.000104
2;4;0.000862;0.000115
2;4;0.000963;0.000117
2;4;0.000872;0.000124
2;4;0.000865;0.000122
2;4;0.000869;0.000123
2;4;0.000858;0.000114
2;4;0.000859;0.000123
2;4;0.000865;0.000119
2;4;0.000875;0.000122
2;4;0.000880;0.000127
3;4;0.000916;0.000150
3;4;0.000883;0.000115
3;4;0.000883;0.000116
3;4;0.000892;0.000123
3;4;0.000901;0.000129
3;4;0.000886;0.000117
3;4;0.000883;0.000127
3;4;0.000904;0.000125
3;4;0.000882;0.000120
3;4;0.000886;0.000118
4;4;0.000943;0.000121
4;4;0.000917;0.000121
4;4;0.000907;0.000115
4;4;0.000928;0.000130
4;4;0.001003;0.000119
4;4;0.000903;0.000121
4;4;0.000913;0.000127
4;4;0.000912;0.000113
4;4;0.000897;0.000117
4;4;0.000971;0.000144
5;9;0.000967;0.000145
5;9;0.001361;0.000163
5;9;0.000933;0.000127
5;9;0.000952;0.000129
5;9;0.000936;0.000127
5;9;0.000957;0.000143
5;9;0.000934;0.000131
5;9;0.000949;0.000134
5;9;0.000931;0.000139
5;9;0.000959;0.000157
6;9;0.000953;0.000130
6;9;0.000984;0.000132
6;9;0.000976;0.000130
6;9;0.000973;0.000127
6;9;0.000962;0.000128
6;9;0.001014;0.000138
6;9;0.000958;0.000138
6;9;0.001343;0.000152
6;9;0.000946;0.000129
6;9;0.001029;0.000181
7;9;0.000988;0.000146
7;9;0.001031;0.000154
7;9;0.001078;0.000163
7;9;0.001346;0.000148
7;9;0.001016;0.000164
7;9;0.001026;0.000167
7;9;0.001022;0.000161
7;9;0.001009;0.000161
7;9;0.000997;0.000149
7;9;0.001348;0.000142
8;9;0.001426;0.000162
8;9;0.001359;0.000168
8;9;0.001317;0.000159
8;9;0.001024;0.000144
8;9;0.001023;0.000135
8;9;0.001021;0.000141
8;9;0.001013;0.000148
8;9;0.001071;0.000167
8;9;0.001003;0.000139
8;9;0.001371;0.000157
9;9;0.001050;0.000138
9;9;0.001285;0.000136
9;9;0.001382;0.000140
9;9;0.001084;0.000127
9;9;0.001055;0.000151
9;9;0.001042;0.000146
9;9;0.001052;0.000146
9;9;0.001052;0.000150
9;9;0.001399;0.000139
9;9;0.001423;0.000132
10;14;0.001299;0.000178
10;14;0.001311;0.000179
10;14;0.001126;0.000189
10;14;0.001089;0.000176
10;14;0.001075;0.000186
10;14;0.001283;0.000186
10;14;0.001320;0.000193
10;14;0.001171;0.000236
10;14;0.001120;0.000185
10;14;0.001318;0.000168
11;14;0.001116;0.000190
11;14;0.001110;0.000169
11;14;0.001111;0.000157
11;14;0.001121;0.000177
11;14;0.001322;0.000170
11;14;0.001443;0.000200
11;14;0.001511;0.000211
11;14;0.001263;0.000198
11;14;0.001128;0.000177
11;14;0.001109;0.000160
12;14;0.001490;0.000177
12;14;0.001511;0.000210
12;14;0.001370;0.000160
12;14;0.001385;0.000179
12;14;0.001492;0.000153
12;14;0.001360;0.000158
12;14;0.001409;0.000195
12;14;0.001463;0.000169
12;14;0.001480;0.000186
12;14;0.001455;0.000179
13;14;0.001266;0.000211
13;14;0.001427;0.000180
13;14;0.001481;0.000180
13;14;0.001497;0.000188
13;14;0.001488;0.000184
13;14;0.001642;0.000175
13;14;0.001395;0.000163
13;14;0.001510;0.000180
13;14;0.001512;0.000181
13;14;0.001432;0.000185
14;14;0.001491;0.000165
14;14;0.001447;0.000189
14;14;0.001440;0.000171
14;14;0.001406;0.000203
14;14;0.001451;0.000196
14;14;0.001594;0.000181
14;14;0.001535;0.000229
14;14;0.001528;0.000251
14;14;0.001465;0.000191
14;14;0.001406;0.000204
15;22;0.001607;0.000275
15;22;0.001595;0.000325
15;22;0.001608;0.000275
15;22;0.001656;0.000281
15;22;0.001620;0.000301
15;22;0.001612;0.000306
15;22;0.001629;0.000257
15;22;0.001497;0.000292
15;22;0.001499;0.000241
15;22;0.001644;0.000303
16;22;0.001550;0.000287
16;22;0.001565;0.000287
16;22;0.001712;0.000286
16;22;0.001629;0.000278
16;22;0.001660;0.000294
16;22;0.001597;0.000267
16;22;0.001680;0.000278
16;22;0.001556;0.000286
16;22;0.001542;0.000268
16;22;0.001660;0.000313
