"processes";"solution time [s]"
1;0.001604
1;0.001575
1;0.001588
1;0.001576
1;0.001576
1;0.001603
1;0.001584
1;0.001592
1;0.001598
1;0.001584
2;0.004308
2;0.004301
2;0.004339
2;0.004312
2;0.004342
2;0.006755
2;0.004320
2;0.004490
2;0.004438
2;0.004308
3;0.004506
3;0.007119
3;0.004537
3;0.004354
3;0.006821
3;0.004617
3;0.004335
3;0.004403
3;0.004409
3;0.004305
4;0.006210
4;0.005120
4;0.005464
4;0.003430
4;0.006684
4;0.005612
4;0.002202
4;0.005647
4;0.003541
4;0.005564
5;0.007479
5;0.007251
5;0.007262
5;0.007304
5;0.007414
5;0.007697
5;0.006910
5;0.007427
5;0.007400
5;0.007293
6;0.006506
6;0.002384
6;0.007103
6;0.007277
6;0.007600
6;0.007082
6;0.007721
6;0.006823
6;0.004676
6;0.006991
7;0.001048
7;0.002907
7;0.002846
7;0.007676
7;0.001095
7;0.004825
7;0.001432
7;0.007446
7;0.007694
7;0.001300
8;0.001752
8;0.006257
8;0.003372
8;0.003487
8;0.003635
8;0.006785
8;0.001946
8;0.003466
8;0.001121
8;0.002289
9;0.001383
9;0.009607
9;0.003758
9;0.004270
9;0.003802
9;0.009764
9;0.004299
9;0.003946
9;0.007082
9;0.004240
10;0.003850
10;0.001196
10;0.005744
10;0.001916
10;0.009070
10;0.003824
10;0.001747
10;0.005257
10;0.004216
10;0.004348
11;0.004628
11;0.004479
11;0.004616
11;0.001981
11;0.005379
11;0.001215
11;0.004333
11;0.005055
11;0.004434
11;0.004589
12;0.006436
12;0.012092
12;0.006287
12;0.004675
12;0.006036
12;0.007506
12;0.005635
12;0.002151
12;0.005230
12;0.004406
13;0.008134
13;0.013686
13;0.002200
13;0.006897
13;0.006906
13;0.006975
13;0.006940
13;0.005496
13;0.005255
13;0.005884
14;0.008512
14;0.006256
14;0.007380
14;0.008580
14;0.014343
14;0.006012
14;0.005606
14;0.006003
14;0.007160
14;0.006944
15;0.008670
15;0.005347
15;0.006736
15;0.003296
15;0.006731
15;0.006550
15;0.008519
15;0.007043
15;0.008091
15;0.008300
16;0.010102
16;0.010262
16;0.009930
16;0.006307
16;0.008723
16;0.002463
16;0.009592
16;0.006489
16;0.003371
16;0.005872
